Ano,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Pedra,Defasagem,Fase,Genero,Idade,Ano_Ingresso,Aluno_ID,Ponto_Virada
2022,5.597,10.0,14.0,5.3,0.0,6.3,7.223087412474911,6.958,Quartzo,0,4.0,Feminino,14.0,2021,RA-118,Não
2022,7.501,10.0,14.0,8.2,8.3,5.6,7.943008065914898,7.875,Ametista,0,4.0,Feminino,14.0,2016,RA-119,Não
2022,6.825,5.0,15.0,5.9,8.3,7.5,7.553872025861971,7.667,Ágata,-1,4.0,Masculino,15.0,2019,RA-120,Não
2022,7.245,5.0,16.0,8.4,7.1,6.3,7.658629506327907,7.625,Ametista,-2,4.0,Feminino,16.0,2021,RA-121,Não
2022,5.061,10.0,14.0,3.4,7.9,7.5,6.686600800397709,4.958,Quartzo,0,4.0,Feminino,14.0,2019,RA-122,Não
2022,7.084,5.0,16.0,8.6,7.9,5.6,7.387471024075873,7.292,Ametista,-2,4.0,Masculino,16.0,2017,RA-123,Não
2022,7.388,10.0,14.0,7.8,7.9,5.0,7.405272445399834,7.167,Ametista,0,4.0,Masculino,14.0,2016,RA-124,Não
2022,7.619,5.0,15.0,8.5,8.8,7.5,7.198595821763523,7.75,Ametista,-1,4.0,Feminino,15.0,2022,RA-125,Não
2022,6.289,5.0,15.0,5.8,7.1,7.5,7.963278600831327,7.417,Ágata,-1,4.0,Masculino,15.0,2018,RA-126,Não
2022,8.283,10.0,14.0,8.7,7.5,7.5,7.482519970373856,8.125,Topázio,0,4.0,Feminino,14.0,2022,RA-127,Não
2022,5.563,5.0,15.0,6.2,0.0,7.5,7.212725615262003,6.167,Quartzo,-1,4.0,Masculino,15.0,2019,RA-128,Não
2022,6.926,5.0,15.0,6.4,6.7,7.5,7.783173657054569,7.792,Ágata,-1,4.0,Masculino,15.0,2019,RA-129,Não
2022,5.624,5.0,16.0,4.7,8.3,5.0,7.146472921341016,6.5,Quartzo,-2,4.0,Feminino,16.0,2018,RA-130,Não
2022,7.174,5.0,15.0,9.0,8.8,5.6,7.9063019848538465,7.75,Ametista,-1,4.0,Feminino,15.0,2016,RA-131,Não
2022,8.355,10.0,14.0,8.8,10.0,5.6,8.109112708012482,8.458,Topázio,0,4.0,Feminino,14.0,2019,RA-132,Sim
2022,6.875,5.0,15.0,7.1,7.9,7.5,7.50927991066638,7.625,Ágata,-1,4.0,Feminino,15.0,2016,RA-133,Não
2022,6.607,5.0,15.0,6.8,8.8,7.5,6.768416810937927,7.375,Ágata,-1,4.0,Feminino,15.0,2021,RA-134,Não
2022,7.692,5.0,15.0,7.8,8.3,5.6,8.254081584897444,8.583,Ametista,-1,4.0,Feminino,15.0,2019,RA-135,Sim
2022,6.478,5.0,15.0,6.3,10.0,7.5,7.402422191636031,6.667,Ágata,-1,4.0,Masculino,15.0,2019,RA-136,Não
2022,7.056,2.5,17.0,8.9,7.5,5.0,7.621251552546439,7.792,Ametista,-3,4.0,Feminino,17.0,2016,RA-137,Não
2022,6.738,5.0,15.0,8.0,9.6,5.6,7.348142161118836,6.375,Ágata,-1,4.0,Masculino,15.0,2016,RA-138,Não
2022,3.738,2.5,17.0,3.5,7.1,5.0,6.224060028866614,3.917,Quartzo,-3,4.0,Masculino,17.0,2019,RA-139,Não
2022,7.407,10.0,14.0,7.6,7.9,6.9,7.824506273284921,7.667,Ametista,0,4.0,Feminino,14.0,2021,RA-140,Não
2022,7.118,10.0,14.0,8.2,9.2,5.6,7.143911779959546,5.917,Ametista,0,4.0,Masculino,14.0,2017,RA-141,Não
2022,7.457,10.0,14.0,8.6,6.7,5.6,7.705356856551786,7.583,Ametista,0,4.0,Feminino,14.0,2021,RA-142,Não
2022,8.638,10.0,13.0,9.9,8.3,5.6,8.434994222854801,9.5,Topázio,1,4.0,Masculino,13.0,2019,RA-143,Sim
2022,8.181,10.0,14.0,9.3,7.5,5.0,7.791404201546947,8.292,Topázio,0,4.0,Feminino,14.0,2017,RA-144,Não
2022,5.846,5.0,16.0,6.3,0.0,8.1,7.557906880766246,7.25,Quartzo,-2,4.0,Masculino,16.0,2017,RA-145,Não
2022,7.947,5.0,15.0,9.2,8.3,7.5,7.713928029175614,8.208,Ametista,-1,4.0,Feminino,15.0,2022,RA-146,Não
2022,7.541,10.0,14.0,7.7,8.3,7.5,7.731980494500976,7.25,Ametista,0,4.0,Feminino,14.0,2022,RA-147,Não
2022,7.894,10.0,14.0,7.9,9.2,10.0,8.059780252218372,7.708,Ametista,0,4.0,Masculino,14.0,2022,RA-148,Não
2022,6.323,5.0,15.0,6.5,9.2,7.5,6.9360629319059255,6.125,Ágata,-1,4.0,Feminino,15.0,2022,RA-149,Não
2022,6.962,5.0,16.0,6.3,9.6,6.9,7.905991013347187,7.333,Ágata,-2,4.0,Feminino,16.0,2020,RA-150,Não
2022,7.563,5.0,16.0,7.5,8.8,6.9,7.250548521467308,7.958,Ametista,-2,4.0,Feminino,16.0,2020,RA-151,Não
2022,6.712,5.0,16.0,7.0,8.3,7.5,6.741656523676696,6.292,Ágata,-2,4.0,Feminino,16.0,2022,RA-152,Não
2022,7.535,10.0,14.0,8.2,7.9,5.0,7.967307867712216,7.708,Ametista,0,4.0,Feminino,14.0,2018,RA-153,Não
2022,6.073,5.0,15.0,6.1,8.3,6.3,7.554384947894174,6.833,Ágata,-1,4.0,Masculino,15.0,2017,RA-154,Não
2022,7.051,5.0,16.0,8.3,10.0,7.5,6.2566264823831075,6.833,Ametista,-2,4.0,Masculino,16.0,2022,RA-155,Não
2022,7.357,5.0,15.0,8.3,10.0,9.4,7.8123821335422114,7.792,Ametista,-1,4.0,Masculino,15.0,2018,RA-156,Não
2022,8.317,10.0,12.0,10.0,7.5,6.3,8.179221596852406,8.292,Topázio,1,4.0,Feminino,12.0,2018,RA-157,Não
2022,7.302,2.5,17.0,9.8,7.9,5.6,7.359556826983558,8.125,Ametista,-3,4.0,Feminino,17.0,2017,RA-158,Não
2022,6.49,5.0,15.0,8.1,8.3,5.6,6.921236608431857,6.458,Ágata,-1,4.0,Feminino,15.0,2021,RA-159,Não
2022,6.746,5.0,15.0,7.2,7.5,5.6,8.15284251539481,8.25,Ágata,-1,4.0,Feminino,15.0,2021,RA-160,Não
